
"Склады отгрузки";Weeks;Cubes
;;спрос
Склад7||Склад7_о;W10;4112
Склад7||Склад7_о;W11;3908
Склад7||Склад7_о;W12;5053
Склад7||Склад7_о;W13;4667
Склад7||Склад7_о;W14;4830
Склад7||Склад7_о;W15;3538
Склад7||Склад7_о;W16;4486
Склад7||Склад7_о;W17;4471
Склад7||Склад7_о;W18;5924
Склад7||Склад7_о;W19;5609
Склад7||Склад7_о;W20;4604
Склад7||Склад7_о;W21;4948
Склад7||Склад7_о;W22;4273
Склад7||Склад7_о;W23;4375
Склад7||Склад7_о;W24;4597
Склад7||Склад7_о;W25;4967
Склад7||Склад7_о;W26;4925
Склад7||Склад7_о;W27;5488
Склад7||Склад7_о;W28;5455
Склад7||Склад7_о;W29;4699
Склад7||Склад7_о;W30;4497
Склад7||Склад7_о;W31;4746
Склад7||Склад7_о;W32;5724
Склад7||Склад7_о;W33;5887
Склад7||Склад7_о;W34;5672
Склад7||Склад7_о;W35;5434
Склад7||Склад7_о;W36;5407
Склад7||Склад7_о;W37;5186
Склад7||Склад7_о;W38;5742
Склад7||Склад7_о;W39;6227
Склад7||Склад7_о;W40;5043
Склад7||Склад7_о;W41;4873
Склад7||Склад7_о;W42;4571
Склад7||Склад7_о;W43;4825
Склад7||Склад7_о;W44;4543
Склад7||Склад7_о;W45;4284
Склад7||Склад7_о;W46;4112
Склад7||Склад7_о;W47;3714
Склад7||Склад7_о;W48;2224
Склад7||Склад7_о;W49;3083
Склад7||Склад7_о;W50;2750
Склад7||Склад7_о;W51;2929
Склад7||Склад7_о;W52;1517
Склад7||Склад7_о;W53;271
Склад8||Склад8_о;W1;0
Склад8||Склад8_о;W2;0
Склад8||Склад8_о;W3;0
Склад8||Склад8_о;W4;0
Склад8||Склад8_о;W5;0
Склад8||Склад8_о;W6;0
Склад8||Склад8_о;W7;0
Склад8||Склад8_о;W8;0
Склад8||Склад8_о;W9;0
Склад8||Склад8_о;W10;0
Склад8||Склад8_о;W11;0
Склад8||Склад8_о;W12;0
Склад8||Склад8_о;W13;0
Склад8||Склад8_о;W14;0
Склад8||Склад8_о;W15;0
Склад8||Склад8_о;W16;0
Склад8||Склад8_о;W17;0
Склад8||Склад8_о;W18;0
Склад8||Склад8_о;W19;0
Склад8||Склад8_о;W20;0
Склад8||Склад8_о;W21;0
Склад8||Склад8_о;W22;0
Склад8||Склад8_о;W23;0
Склад8||Склад8_о;W24;0
Склад8||Склад8_о;W25;0
Склад8||Склад8_о;W26;0
Склад8||Склад8_о;W27;0
Склад8||Склад8_о;W28;0
Склад8||Склад8_о;W29;0
Склад8||Склад8_о;W30;0
Склад8||Склад8_о;W31;0
Склад8||Склад8_о;W32;0
Склад8||Склад8_о;W33;0
Склад8||Склад8_о;W34;0
Склад8||Склад8_о;W35;0
Склад8||Склад8_о;W36;0
Склад8||Склад8_о;W37;0
Склад8||Склад8_о;W38;0
Склад8||Склад8_о;W39;0
Склад8||Склад8_о;W40;0
Склад8||Склад8_о;W41;0
Склад8||Склад8_о;W42;0
Склад8||Склад8_о;W43;0
Склад8||Склад8_о;W44;0
Склад8||Склад8_о;W45;0
Склад8||Склад8_о;W46;0
Склад8||Склад8_о;W47;338
Склад8||Склад8_о;W48;1664
Склад8||Склад8_о;W49;1048
Склад8||Склад8_о;W50;1163
Склад8||Склад8_о;W51;1909
Склад8||Склад8_о;W52;1980
Склад8||Склад8_о;W53;20
Склад9||Склад9_о;W1;0
Склад9||Склад9_о;W2;0
Склад9||Склад9_о;W3;0
Склад9||Склад9_о;W4;0
Склад9||Склад9_о;W5;0
Склад9||Склад9_о;W6;0
Склад9||Склад9_о;W7;0
Склад9||Склад9_о;W8;0
Склад9||Склад9_о;W9;0
Склад9||Склад9_о;W10;0
Склад9||Склад9_о;W11;0
Склад9||Склад9_о;W12;0
Склад9||Склад9_о;W13;0
Склад9||Склад9_о;W14;0
Склад9||Склад9_о;W15;0
Склад9||Склад9_о;W16;0
Склад9||Склад9_о;W17;0
Склад9||Склад9_о;W18;0
Склад9||Склад9_о;W19;0
Склад9||Склад9_о;W20;0
Склад9||Склад9_о;W21;0
Склад9||Склад9_о;W22;0
Склад9||Склад9_о;W23;0
Склад9||Склад9_о;W24;0
Склад9||Склад9_о;W25;0
Склад9||Склад9_о;W26;0
Склад9||Склад9_о;W27;0
Склад9||Склад9_о;W28;0
Склад9||Склад9_о;W29;0
Склад9||Склад9_о;W30;0
Склад9||Склад9_о;W31;0
Склад9||Склад9_о;W32;0
Склад9||Склад9_о;W33;0
Склад9||Склад9_о;W34;0
Склад9||Склад9_о;W35;0
Склад9||Склад9_о;W36;0
Склад9||Склад9_о;W37;0
Склад9||Склад9_о;W38;0
Склад9||Склад9_о;W39;0
Склад9||Склад9_о;W40;0
Склад9||Склад9_о;W41;0
Склад9||Склад9_о;W42;0
Склад9||Склад9_о;W43;289
Склад9||Склад9_о;W44;204
Склад9||Склад9_о;W45;536
Склад9||Склад9_о;W46;361
Склад9||Склад9_о;W47;386
Склад9||Склад9_о;W48;418
Склад9||Склад9_о;W49;512
Склад9||Склад9_о;W50;982
Склад9||Склад9_о;W51;1398
Склад9||Склад9_о;W52;2089
Склад9||Склад9_о;W53;20
Склад10||Склад10_о;W1;0
Склад10||Склад10_о;W2;1615
Склад10||Склад10_о;W3;4479
Склад10||Склад10_о;W4;4153
Склад10||Склад10_о;W5;5274
Склад10||Склад10_о;W6;6105
Склад10||Склад10_о;W7;5324
Склад10||Склад10_о;W8;5265
Склад10||Склад10_о;W9;4802
Склад10||Склад10_о;W10;6276
Склад10||Склад10_о;W11;5253
Склад10||Склад10_о;W12;5837
Склад10||Склад10_о;W13;6486
Склад10||Склад10_о;W14;5652
Склад10||Склад10_о;W15;5718
Склад10||Склад10_о;W16;5739
Склад10||Склад10_о;W17;6719
Склад10||Склад10_о;W18;5489
Склад10||Склад10_о;W19;5557
Склад10||Склад10_о;W20;4668
Склад10||Склад10_о;W21;4553
Склад10||Склад10_о;W22;6201
Склад10||Склад10_о;W23;4315
Склад10||Склад10_о;W24;5127
Склад10||Склад10_о;W25;8311
Склад10||Склад10_о;W26;6865
Склад10||Склад10_о;W27;7246
Склад10||Склад10_о;W28;8362
Склад10||Склад10_о;W29;7031
Склад10||Склад10_о;W30;7125
Склад10||Склад10_о;W31;7965
Склад10||Склад10_о;W32;7677
Склад10||Склад10_о;W33;8370
Склад10||Склад10_о;W34;7392
Склад10||Склад10_о;W35;6909
Склад10||Склад10_о;W36;6785
Склад10||Склад10_о;W37;9319
Склад10||Склад10_о;W38;7609
Склад10||Склад10_о;W39;8247
Склад10||Склад10_о;W40;6886
Склад10||Склад10_о;W41;6393
Склад10||Склад10_о;W42;7493
Склад10||Склад10_о;W43;9306
Склад10||Склад10_о;W44;8701
Склад10||Склад10_о;W45;7413
Склад10||Склад10_о;W46;6374
Склад10||Склад10_о;W47;6564
Склад10||Склад10_о;W48;5133
Склад10||Склад10_о;W49;7287
Склад10||Склад10_о;W50;6612
Склад10||Склад10_о;W51;4791
Склад10||Склад10_о;W52;2741
Склад10||Склад10_о;W53;14
Склад11||Склад11_о;W1;0
Склад11||Склад11_о;W2;0
Склад11||Склад11_о;W3;0
Склад11||Склад11_о;W4;0
Склад11||Склад11_о;W5;0
Склад11||Склад11_о;W6;0
Склад11||Склад11_о;W7;0
Склад11||Склад11_о;W8;0
Склад11||Склад11_о;W9;0
Склад11||Склад11_о;W10;0
Склад11||Склад11_о;W11;0
Склад11||Склад11_о;W12;0
Склад11||Склад11_о;W13;78
Склад11||Склад11_о;W14;397
Склад11||Склад11_о;W15;623
Склад11||Склад11_о;W16;156
Склад11||Склад11_о;W17;704
Склад11||Склад11_о;W18;616
Склад11||Склад11_о;W19;1633
Склад11||Склад11_о;W20;2019
Склад11||Склад11_о;W21;1646
Склад11||Склад11_о;W22;2479
Склад11||Склад11_о;W23;2500
Склад11||Склад11_о;W24;2339
Склад11||Склад11_о;W25;3331
Склад11||Склад11_о;W26;2995
Склад11||Склад11_о;W27;5438
Склад11||Склад11_о;W28;4395
Склад11||Склад11_о;W29;4685
Склад11||Склад11_о;W30;4355
Склад11||Склад11_о;W31;2959
Склад11||Склад11_о;W32;3059
Склад11||Склад11_о;W33;3159
Склад11||Склад11_о;W34;4029
Склад11||Склад11_о;W35;4401
Склад11||Склад11_о;W36;4193
Склад11||Склад11_о;W37;4400
Склад11||Склад11_о;W38;5081
Склад11||Склад11_о;W39;5298
Склад11||Склад11_о;W40;3576
Склад11||Склад11_о;W41;3775
Склад11||Склад11_о;W42;5255
Склад11||Склад11_о;W43;5335
Склад11||Склад11_о;W44;5177
Склад11||Склад11_о;W45;5103
Склад11||Склад11_о;W46;5507
Склад11||Склад11_о;W47;3936
Склад11||Склад11_о;W48;3777
Склад11||Склад11_о;W49;2804
Склад11||Склад11_о;W50;3000
Склад11||Склад11_о;W51;1561
Склад11||Склад11_о;W52;2465
Склад11||Склад11_о;W53;26
Склад12||Склад12_о;W1;0
Склад12||Склад12_о;W2;1242
Склад12||Склад12_о;W3;6341
Склад12||Склад12_о;W4;6468
Склад12||Склад12_о;W5;4220
Склад12||Склад12_о;W6;4038
Склад12||Склад12_о;W7;3070
Склад12||Склад12_о;W8;3913
Склад12||Склад12_о;W9;4622
Склад12||Склад12_о;W10;4669
Склад12||Склад12_о;W11;5350
Склад12||Склад12_о;W12;5208
Склад12||Склад12_о;W13;6855
Склад12||Склад12_о;W14;5576
Склад12||Склад12_о;W15;5812
Склад12||Склад12_о;W16;4737
Склад12||Склад12_о;W17;5950
