
"Склады отгрузки";Weeks;Cubes
;;вместимость
Склад7||Склад7_о;W19;0
Склад7||Склад7_о;W20;0
Склад7||Склад7_о;W21;0
Склад7||Склад7_о;W22;127
Склад7||Склад7_о;W23;24.999999999999
Склад7||Склад7_о;W24;0
Склад7||Склад7_о;W25;0
Склад7||Склад7_о;W26;0
Склад7||Склад7_о;W27;0
Склад7||Склад7_о;W28;0
Склад7||Склад7_о;W29;0
Склад7||Склад7_о;W30;0
Склад7||Склад7_о;W31;9.0949470177293E-13
Склад7||Склад7_о;W32;0
Склад7||Склад7_о;W33;0
Склад7||Склад7_о;W34;0
Склад7||Склад7_о;W35;0
Склад7||Склад7_о;W36;0
Склад7||Склад7_о;W37;0
Склад7||Склад7_о;W38;0
Склад7||Склад7_о;W39;0
Склад7||Склад7_о;W40;0
Склад7||Склад7_о;W41;0
Склад7||Склад7_о;W42;0
Склад7||Склад7_о;W43;0
Склад7||Склад7_о;W44;0
Склад7||Склад7_о;W45;116
Склад7||Склад7_о;W46;288
Склад7||Склад7_о;W47;686
Склад7||Склад7_о;W48;2176
Склад7||Склад7_о;W49;1317
Склад7||Склад7_о;W50;1650
Склад7||Склад7_о;W51;1471
Склад7||Склад7_о;W52;2883
Склад7||Склад7_о;W53;4129
Склад8||Склад8_о;W1;7857
Склад8||Склад8_о;W2;7857
Склад8||Склад8_о;W3;7857
Склад8||Склад8_о;W4;7857
Склад8||Склад8_о;W5;7857
Склад8||Склад8_о;W6;7857
Склад8||Склад8_о;W7;7857
Склад8||Склад8_о;W8;7857
Склад8||Склад8_о;W9;7857
Склад8||Склад8_о;W10;7857
Склад8||Склад8_о;W11;7857
Склад8||Склад8_о;W12;7857
Склад8||Склад8_о;W13;7857
Склад8||Склад8_о;W14;7857
Склад8||Склад8_о;W15;7857
Склад8||Склад8_о;W16;7857
Склад8||Склад8_о;W17;7857
Склад8||Склад8_о;W18;7857
Склад8||Склад8_о;W19;7857
Склад8||Склад8_о;W20;7857
Склад8||Склад8_о;W21;7857
Склад8||Склад8_о;W22;7857
Склад8||Склад8_о;W23;7857
Склад8||Склад8_о;W24;7857
Склад8||Склад8_о;W25;7857
Склад8||Склад8_о;W26;7857
Склад8||Склад8_о;W27;7857
Склад8||Склад8_о;W28;7857
Склад8||Склад8_о;W29;7857
Склад8||Склад8_о;W30;7857
Склад8||Склад8_о;W31;7857
Склад8||Склад8_о;W32;7857
Склад8||Склад8_о;W33;7857
Склад8||Склад8_о;W34;7857
Склад8||Склад8_о;W35;7857
Склад8||Склад8_о;W36;7857
Склад8||Склад8_о;W37;7857
Склад8||Склад8_о;W38;7857
Склад8||Склад8_о;W39;7857
Склад8||Склад8_о;W40;7857
Склад8||Склад8_о;W41;7857
Склад8||Склад8_о;W42;7857
Склад8||Склад8_о;W43;7857
Склад8||Склад8_о;W44;7857
Склад8||Склад8_о;W45;7857
Склад8||Склад8_о;W46;7857
Склад8||Склад8_о;W47;7519
Склад8||Склад8_о;W48;6193
Склад8||Склад8_о;W49;6809
Склад8||Склад8_о;W50;6694
Склад8||Склад8_о;W51;5948
Склад8||Склад8_о;W52;5877
Склад8||Склад8_о;W53;7837
Склад9||Склад9_о;W1;13000
Склад9||Склад9_о;W2;13000
Склад9||Склад9_о;W3;13000
Склад9||Склад9_о;W4;13000
Склад9||Склад9_о;W5;13000
Склад9||Склад9_о;W6;13000
Склад9||Склад9_о;W7;13000
Склад9||Склад9_о;W8;13000
Склад9||Склад9_о;W9;13000
Склад9||Склад9_о;W10;13000
Склад9||Склад9_о;W11;13000
Склад9||Склад9_о;W12;13000
Склад9||Склад9_о;W13;13000
Склад9||Склад9_о;W14;13000
Склад9||Склад9_о;W15;13000
Склад9||Склад9_о;W16;13000
Склад9||Склад9_о;W17;13000
Склад9||Склад9_о;W18;13000
Склад9||Склад9_о;W19;13000
Склад9||Склад9_о;W20;13000
Склад9||Склад9_о;W21;13000
Склад9||Склад9_о;W22;13000
Склад9||Склад9_о;W23;13000
Склад9||Склад9_о;W24;13000
Склад9||Склад9_о;W25;13000
Склад9||Склад9_о;W26;13000
Склад9||Склад9_о;W27;13000
Склад9||Склад9_о;W28;13000
Склад9||Склад9_о;W29;13000
Склад9||Склад9_о;W30;13000
Склад9||Склад9_о;W31;13000
Склад9||Склад9_о;W32;13000
Склад9||Склад9_о;W33;13000
Склад9||Склад9_о;W34;13000
Склад9||Склад9_о;W35;13000
Склад9||Склад9_о;W36;13000
Склад9||Склад9_о;W37;13000
Склад9||Склад9_о;W38;13000
Склад9||Склад9_о;W39;13000
Склад9||Склад9_о;W40;13000
Склад9||Склад9_о;W41;13000
Склад9||Склад9_о;W42;13000
